                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89483,                 2.5467,                  1.732,                 1.3134,                0.96517,                   0.93,                0.95858,                0.74456,                0.96375,                0.93059,                0.96122,                0.84765,                0.79712,                 1.0065,                  2.608,                 1.7348,                0.00064,                0.00064,                0.00064
                      2,                0.62114,                0.89189,                0.75584,                 1.0724,                 0.7876,                0.57474,                0.71102,                0.44907,                0.81244,                    0.6,                0.73272,                0.40374,                 1.3888,                 8.6643,                 2.2397,                 2.6931,              0.0012871,              0.0012871,              0.0012871
                      3,                0.63501,                0.88849,                0.60753,                 1.0779,                 0.8425,                   0.79,                0.84383,                 0.5314,                0.83133,                   0.78,                0.81976,                0.35817,                 1.2195,                 7.0885,                 2.2399,                 1.9677,              0.0019212,              0.0019212,              0.0019212
                      4,                0.62751,                0.89089,                0.51628,                   1.07,                0.68483,                  0.665,                0.71996,                 0.3659,                0.56313,                    0.7,                0.65507,                0.27422,                 1.6163,                 5.6905,                 1.4164,                   2.33,              0.0019406,              0.0019406,              0.0019406
                      5,                0.60232,                0.84377,                0.45491,                 1.0561,                0.80945,                   0.77,                0.75884,                0.26541,                0.83047,                   0.79,                0.80374,                0.33487,                 1.7761,                 1.3944,                 1.4932,                 2.7529,              0.0019406,              0.0019406,              0.0019406
                      6,                0.57722,                0.81422,                0.42257,                 1.0348,                0.96796,                  0.985,                0.98844,                0.88047,                0.96796,                  0.985,                0.98844,                0.90093,                0.48314,                0.84593,                0.46618,                 1.0585,              0.0019208,              0.0019208,              0.0019208
                      7,                0.57558,                0.79894,                0.39825,                 1.0379,                0.90942,                   0.95,                 0.9764,                0.80322,                0.90463,                  0.945,                0.96887,                0.83602,                0.62159,                0.92728,                 0.8433,                 1.1855,               0.001901,               0.001901,               0.001901
                      8,                0.57075,                0.79067,                0.38406,                 1.0319,                0.94179,                  0.885,                0.93213,                0.76557,                0.93067,                   0.91,                0.94011,                0.68091,                0.75239,                 2.0749,                0.65155,                 1.3437,              0.0018812,              0.0018812,              0.0018812
                      9,                0.54104,                 0.7616,                0.36245,                 1.0145,                0.99392,                  0.965,                0.98571,                0.87281,                0.99392,                  0.965,                0.98571,                0.89117,                0.51785,                0.74484,                0.35239,                 1.1002,              0.0018614,              0.0018614,              0.0018614
                     10,                0.54965,                0.77585,                0.36213,                 1.0172,                0.99147,                   0.97,                0.98595,                0.88306,                0.99147,                   0.97,                0.98555,                0.89778,                0.49544,                0.74768,                0.36331,                 1.0603,              0.0018416,              0.0018416,              0.0018416
                     11,                0.52799,                0.75321,                0.34839,                 1.0049,                0.95934,                0.94377,                0.97943,                 0.9081,                0.95934,                0.94377,                0.97943,                0.90367,                0.42706,                0.69642,                0.38279,                0.99311,              0.0018218,              0.0018218,              0.0018218
                     12,                0.52536,                0.74024,                0.34179,                 1.0062,                0.99898,                  0.985,                0.99452,                0.91811,                0.99898,                  0.985,                0.99452,                0.93347,                0.43102,                0.66995,                 0.2833,                 1.0228,               0.001802,               0.001802,               0.001802
                     13,                   0.52,                 0.7275,                0.33831,                 1.0008,                0.98462,                0.96058,                0.98956,                0.89774,                0.98462,                0.96058,                0.98956,                0.89731,                0.46953,                0.69838,                0.35755,                 1.0369,              0.0017822,              0.0017822,              0.0017822
                     14,                0.52436,                0.73892,                0.33588,                 1.0053,                      1,                0.98481,                0.98725,                0.91331,                      1,                0.98481,                0.98651,                0.91928,                0.42065,                0.65252,                0.27573,                0.98774,              0.0017624,              0.0017624,              0.0017624
                     15,                0.50844,                0.71558,                0.32538,                0.99699,                 0.9967,                   0.96,                 0.9901,                0.90757,                 0.9967,                   0.96,                 0.9901,                0.92446,                 0.4378,                0.65816,                0.29592,                 0.9981,              0.0017426,              0.0017426,              0.0017426
                     16,                0.50697,                0.71699,                0.32231,                0.99658,                      1,                0.97947,                0.99322,                0.92672,                      1,                0.97947,                0.99322,                0.92187,                0.39079,                0.65077,                0.27682,                0.96283,              0.0017228,              0.0017228,              0.0017228
                     17,                0.51975,                0.72189,                0.32858,                 1.0058,                0.99664,                  0.985,                0.99485,                0.92022,                0.99664,                  0.985,                0.99485,                0.92903,                0.42069,                0.57993,                0.27655,                0.99993,               0.001703,               0.001703,               0.001703
                     18,                0.50487,                0.71649,                0.31718,                 1.0001,                0.99409,                  0.985,                0.99075,                0.91141,                0.99409,                  0.985,                0.99075,                0.92365,                0.41076,                0.63603,                0.28612,                0.98255,              0.0016832,              0.0016832,              0.0016832
                     19,                0.49132,                0.70197,                0.31067,                0.98322,                 0.9994,                   0.99,                0.99495,                0.93349,                 0.9994,                   0.99,                0.99495,                0.94422,                0.40113,                0.59387,                0.24428,                 0.9685,              0.0016634,              0.0016634,              0.0016634
                     20,                0.49313,                0.70995,                0.30466,                0.98575,                0.98917,                  0.985,                0.98705,                0.92254,                0.98917,                  0.985,                0.98631,                0.91584,                0.40362,                0.76045,                0.27404,                0.97891,              0.0016436,              0.0016436,              0.0016436
                     21,                  0.493,                0.70816,                0.30456,                0.98956,                0.99488,                   0.98,                0.99044,                0.93157,                0.99488,                   0.98,                0.99386,                0.93989,                0.39405,                0.59026,                0.24495,                0.96325,              0.0016238,              0.0016238,              0.0016238
                     22,                0.48957,                0.69523,                0.30677,                0.98241,                  0.995,                0.99442,                0.99495,                0.92989,                  0.995,                0.99442,                0.99495,                 0.9394,                0.40177,                0.59952,                0.23424,                0.96258,               0.001604,               0.001604,               0.001604
                     23,                 0.4858,                0.69272,                0.30452,                0.97883,                0.98984,                0.97381,                0.99026,                0.93316,                0.98984,                0.97381,                0.99026,                0.93954,                0.39327,                0.57926,                0.25095,                0.96282,              0.0015842,              0.0015842,              0.0015842
                     24,                0.48166,                0.69586,                0.29604,                0.98315,                 0.9984,                   0.98,                0.99372,                0.93094,                 0.9984,                   0.98,                0.99372,                0.94223,                0.40173,                0.54285,                0.27381,                0.96376,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.4854,                0.69886,                0.29948,                0.98631,                0.99912,                  0.985,                0.99326,                0.93131,                0.99912,                  0.985,                0.99326,                0.94198,                0.39481,                0.59755,                0.25242,                0.95656,              0.0015446,              0.0015446,              0.0015446
                     26,                0.47433,                0.68304,                0.29573,                0.98263,                0.99005,                0.99471,                 0.9949,                0.94078,                0.99005,                0.99471,                 0.9949,                0.95633,                0.37792,                0.51504,                0.22196,                 0.9505,              0.0015248,              0.0015248,              0.0015248
                     27,                0.48606,                0.69506,                0.29256,                0.98424,                      1,                 0.9894,                0.99485,                  0.946,                      1,                 0.9894,                0.99485,                0.95576,                0.38031,                 0.5742,                 0.2395,                0.94561,               0.001505,               0.001505,               0.001505
                     28,                 0.4735,                0.68499,                0.28915,                0.97413,                0.99438,                  0.995,                0.99495,                0.94213,                0.99438,                  0.995,                0.99495,                 0.9498,                0.36495,                0.55498,                0.20928,                0.93661,              0.0014852,              0.0014852,              0.0014852
                     29,                0.47038,                0.68585,                0.28065,                0.97674,                0.98576,                   0.99,                 0.9947,                0.93178,                0.98576,                   0.99,                 0.9947,                0.95122,                0.41772,                0.53549,                 0.2571,                0.99534,              0.0014654,              0.0014654,              0.0014654
                     30,                0.46104,                0.65651,                0.27979,                0.97115,                0.99967,                  0.995,                  0.995,                0.93754,                0.99967,                  0.995,                  0.995,                0.94485,                0.37858,                 0.5822,                0.20753,                0.95964,              0.0014456,              0.0014456,              0.0014456
                     31,                0.47006,                0.67139,                0.28194,                0.97373,                0.99399,                   0.99,                0.99416,                0.94468,                0.99399,                   0.99,                0.99416,                0.94196,                0.34905,                0.54537,                0.21587,                0.92494,              0.0014258,              0.0014258,              0.0014258
                     32,                0.46545,                0.67638,                0.28539,                0.97755,                0.99499,                0.99302,                0.99495,                0.95059,                0.99499,                0.99302,                0.99495,                0.95852,                0.35751,                 0.5195,                0.21999,                0.93282,               0.001406,               0.001406,               0.001406
                     33,                0.46706,                0.65996,                0.27675,                0.97367,                0.99394,                   0.99,                0.99356,                0.93655,                0.99394,                   0.99,                0.99412,                0.94904,                0.37105,                0.55413,                0.22207,                0.93993,              0.0013862,              0.0013862,              0.0013862
                     34,                0.46645,                0.67179,                 0.2819,                0.97927,                      1,                0.99452,                  0.995,                0.94595,                      1,                0.99452,                  0.995,                0.94565,                0.38233,                0.54151,                0.23319,                0.95356,              0.0013664,              0.0013664,              0.0013664
                     35,                0.46403,                0.66914,                0.27319,                0.97645,                      1,                0.98348,                0.99381,                0.93432,                      1,                0.98348,                0.99381,                0.95246,                0.41739,                0.51667,                0.25978,                0.97896,              0.0013466,              0.0013466,              0.0013466
                     36,                0.46874,                0.67963,                0.27901,                  0.972,                0.99956,                   0.99,                0.99495,                 0.9416,                0.99956,                   0.99,                0.99495,                0.95462,                0.40693,                0.54793,                0.22847,                 0.9729,              0.0013268,              0.0013268,              0.0013268
                     37,                0.46585,                0.66234,                0.27337,                0.97002,                0.98957,                   0.98,                0.99095,                0.95383,                0.98957,                   0.98,                0.99095,                0.95025,                0.36109,                0.54724,                0.22219,                0.92759,               0.001307,               0.001307,               0.001307
                     38,                0.44917,                0.63805,                0.26421,                0.96782,                      1,                 0.9879,                0.99475,                0.94104,                      1,                 0.9879,                0.99381,                0.95151,                0.37763,                 0.5433,                0.24312,                0.94975,              0.0012872,              0.0012872,              0.0012872
                     39,                0.45926,                0.65116,                0.26956,                0.96893,                0.98497,                0.98275,                0.99332,                0.93447,                0.98497,                0.98275,                0.99332,                0.94622,                0.41473,                0.54416,                0.29717,                 0.9674,              0.0012674,              0.0012674,              0.0012674
                     40,                0.46007,                0.65154,                0.27093,                0.96674,                0.99497,                0.98888,                0.99465,                0.94141,                0.99497,                0.98888,                0.99465,                0.94871,                0.37882,                0.57532,                0.24985,                0.94866,              0.0012476,              0.0012476,              0.0012476
                     41,                0.45266,                0.63897,                 0.2687,                0.96766,                0.99903,                   0.99,                 0.9948,                0.93808,                0.99903,                   0.99,                 0.9948,                0.94543,                0.36736,                 0.5735,                0.22266,                0.92821,              0.0012278,              0.0012278,              0.0012278
                     42,                0.45597,                0.64074,                0.26873,                0.96494,                  0.995,                0.99471,                0.99495,                0.94376,                  0.995,                0.99471,                0.99495,                0.95761,                0.35895,                0.50734,                0.20435,                0.93028,               0.001208,               0.001208,               0.001208
                     43,                0.44647,                0.64612,                0.26572,                0.96582,                0.99926,                   0.99,                0.99485,                 0.9389,                0.99926,                   0.99,                0.99485,                0.94762,                0.36698,                0.54265,                0.21301,                 0.9343,              0.0011882,              0.0011882,              0.0011882
                     44,                0.46103,                0.65972,                0.26778,                0.97054,                0.99966,                  0.995,                  0.995,                0.95984,                0.99966,                  0.995,                  0.995,                0.95626,                0.34276,                0.55313,                0.19308,                0.91328,              0.0011684,              0.0011684,              0.0011684
                     45,                0.44792,                0.65039,                 0.2605,                0.96235,                0.99952,                  0.995,                  0.995,                0.94952,                0.99952,                  0.995,                  0.995,                0.95408,                0.33664,                0.49735,                0.19107,                0.91357,              0.0011486,              0.0011486,              0.0011486
                     46,                0.44015,                0.63643,                0.25677,                0.96388,                0.98285,                   0.98,                0.99417,                0.95676,                0.98285,                   0.98,                0.99417,                0.95667,                0.35397,                0.52665,                 0.2104,                0.92295,              0.0011288,              0.0011288,              0.0011288
                     47,                0.43835,                0.63626,                0.25505,                0.96127,                0.99945,                   0.99,                 0.9949,                0.95767,                0.99501,                0.99724,                0.99495,                0.95418,                0.34091,                0.50705,                0.19219,                0.91413,               0.001109,               0.001109,               0.001109
                     48,                0.43666,                0.62208,                0.25261,                0.95862,                      1,                0.98935,                0.99264,                0.94873,                      1,                0.98935,                0.99264,                0.95473,                0.35375,                0.52944,                0.22115,                0.92743,              0.0010892,              0.0010892,              0.0010892
                     49,                0.44315,                0.62363,                0.25515,                0.95874,                      1,                0.99467,                  0.995,                0.96042,                      1,                0.99467,                  0.995,                0.95855,                0.34586,                0.51611,                 0.1996,                0.91646,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.4326,                0.62394,                0.25193,                0.95816,                      1,                 0.9947,                  0.995,                0.94807,                      1,                 0.9947,                  0.995,                0.95943,                0.35499,                0.49651,                0.19767,                0.92528,              0.0010496,              0.0010496,              0.0010496
                     51,                0.43548,                 0.6216,                0.24938,                0.96532,                 0.9994,                  0.995,                  0.995,                0.95447,                 0.9994,                  0.995,                  0.995,                0.95936,                0.34045,                0.51562,                0.18326,                0.91226,              0.0010298,              0.0010298,              0.0010298
                     52,                0.43169,                0.61708,                0.24563,                  0.955,                 0.9993,                   0.99,                0.99495,                0.96615,                 0.9993,                   0.99,                0.99495,                0.96368,                0.32434,                0.51831,                0.18075,                0.90015,                0.00101,                0.00101,                0.00101
                     53,                0.43248,                0.63283,                0.25189,                0.95888,                      1,                0.99463,                  0.995,                0.96081,                      1,                0.99463,                  0.995,                0.95976,                 0.3406,                0.52096,                0.18802,                0.91225,              0.0009902,              0.0009902,              0.0009902
                     54,                0.42591,                0.61431,                0.24539,                0.95598,                0.99497,                0.98949,                0.99373,                 0.9451,                0.99497,                0.98949,                0.99373,                0.95517,                0.34669,                0.50598,                0.20388,                0.92123,              0.0009704,              0.0009704,              0.0009704
                     55,                0.42471,                0.61021,                0.24205,                0.95395,                      1,                0.99408,                  0.995,                0.95631,                      1,                0.99408,                  0.995,                0.96012,                0.35744,                0.49693,                0.19978,                0.92714,              0.0009506,              0.0009506,              0.0009506
                     56,                0.42882,                0.61524,                 0.2504,                0.95452,                0.99909,                   0.99,                 0.9949,                0.95276,                0.99909,                   0.99,                 0.9949,                 0.9632,                0.33834,                0.51147,                0.19079,                 0.9165,              0.0009308,              0.0009308,              0.0009308
                     57,                0.42988,                0.61702,                0.24889,                0.95662,                0.99978,                  0.995,                  0.995,                0.95994,                0.99978,                  0.995,                  0.995,                0.96615,                0.33489,                0.48728,                0.18152,                0.90856,               0.000911,               0.000911,               0.000911
                     58,                0.42498,                0.60642,                0.24572,                0.95135,                0.99459,                  0.995,                0.99495,                0.95853,                0.99459,                  0.995,                0.99495,                0.96526,                0.34357,                0.50203,                0.17293,                0.91871,              0.0008912,              0.0008912,              0.0008912
                     59,                0.42648,                0.61311,                 0.2489,                0.95628,                      1,                 0.9893,                 0.9949,                0.95013,                      1,                 0.9893,                 0.9949,                 0.9599,                0.33858,                0.51821,                 0.1919,                0.91519,              0.0008714,              0.0008714,              0.0008714
                     60,                0.43131,                0.61129,                0.24797,                0.95607,                 0.9996,                   0.99,                0.99409,                0.95841,                 0.9996,                   0.99,                0.99409,                0.96455,                0.34408,                0.48637,                0.20765,                0.91377,              0.0008516,              0.0008516,              0.0008516
                     61,                0.42324,                0.60988,                0.23959,                0.94923,                  0.995,                0.99461,                0.99495,                0.96151,                  0.995,                0.99461,                0.99495,                0.96382,                0.33786,                0.51252,                0.18024,                0.91469,              0.0008318,              0.0008318,              0.0008318
                     62,                0.42179,                0.60149,                0.24099,                0.95667,                      1,                0.99467,                  0.995,                 0.9589,                      1,                0.99467,                  0.995,                0.95497,                0.34725,                0.56381,                0.18357,                0.91969,               0.000812,               0.000812,               0.000812
                     63,                0.41671,                0.60096,                0.23518,                 0.9521,                 0.9994,                  0.995,                  0.995,                   0.96,                 0.9994,                  0.995,                  0.995,                0.96448,                0.34029,                0.52588,                0.17279,                0.91641,              0.0007922,              0.0007922,              0.0007922
                     64,                0.42183,                0.61341,                0.24053,                0.95469,                0.99945,                  0.995,                  0.995,                0.95752,                0.99945,                  0.995,                  0.995,                0.96593,                0.33677,                0.46763,                0.17055,                0.90492,              0.0007724,              0.0007724,              0.0007724
                     65,                0.42009,                0.59942,                0.23662,                  0.955,                0.99502,                0.99871,                0.99495,                0.96389,                0.99502,                0.99871,                0.99495,                0.97116,                0.33988,                0.47988,                0.18013,                0.90693,              0.0007526,              0.0007526,              0.0007526
                     66,                0.41396,                0.59724,                0.23728,                0.95241,                  0.995,                0.99447,                0.99495,                0.95762,                  0.995,                0.99447,                0.99495,                0.96272,                0.33201,                0.50932,                0.17695,                0.90757,              0.0007328,              0.0007328,              0.0007328
                     67,                0.41307,                0.59272,                0.23398,                0.95042,                0.99941,                  0.995,                  0.995,                0.95912,                0.99941,                  0.995,                  0.995,                0.96737,                0.33153,                0.49638,                0.17614,                 0.9106,               0.000713,               0.000713,               0.000713
                     68,                0.40415,                0.58896,                0.23077,                0.94353,                      1,                0.99478,                  0.995,                0.95103,                      1,                0.99478,                  0.995,                0.96133,                0.34157,                0.48539,                0.17516,                0.91542,              0.0006932,              0.0006932,              0.0006932
                     69,                0.39699,                0.57365,                0.22249,                0.94333,                0.99968,                  0.995,                  0.995,                0.96156,                0.99968,                  0.995,                  0.995,                0.96357,                0.33502,                0.52177,                 0.1729,                0.90909,              0.0006734,              0.0006734,              0.0006734
                     70,                0.40504,                 0.5738,                 0.2246,                0.94682,                0.97689,                   0.98,                0.99286,                0.95183,                0.97689,                   0.98,                0.99286,                0.95936,                0.34175,                0.47554,                0.22578,                0.91364,              0.0006536,              0.0006536,              0.0006536
                     71,                0.40013,                0.57967,                0.22604,                0.94526,                0.99968,                  0.995,                  0.995,                0.96238,                0.99968,                  0.995,                  0.995,                0.96502,                0.33314,                0.46488,                0.17361,                0.90904,              0.0006338,              0.0006338,              0.0006338
                     72,                0.40411,                0.58967,                0.22872,                0.94505,                 0.9997,                   0.99,                0.99495,                0.96238,                 0.9997,                   0.99,                0.99495,                  0.964,                0.34621,                0.50276,                0.17493,                0.92347,               0.000614,               0.000614,               0.000614
                     73,                0.40165,                0.57988,                0.22474,                0.94303,                0.99956,                   0.99,                 0.9949,                 0.9588,                0.99956,                   0.99,                 0.9949,                0.96169,                0.33495,                0.48942,                0.18357,                 0.9109,              0.0005942,              0.0005942,              0.0005942
                     74,                0.40637,                 0.5846,                0.22651,                0.94592,                 0.9995,                  0.995,                  0.995,                0.96521,                 0.9995,                  0.995,                  0.995,                0.96329,                0.33162,                0.49222,                0.16215,                0.91185,              0.0005744,              0.0005744,              0.0005744
                     75,                0.39969,                0.58178,                0.22193,                0.94102,                0.99461,                  0.995,                0.99495,                0.95786,                0.99461,                  0.995,                0.99495,                0.96672,                0.33905,                0.48158,                0.16557,                0.91266,              0.0005546,              0.0005546,              0.0005546
                     76,                0.40332,                0.58172,                0.22599,                0.94521,                      1,                0.98856,                0.99495,                0.96084,                      1,                0.98856,                0.99495,                0.95861,                  0.333,                0.50301,                0.17904,                0.90636,              0.0005348,              0.0005348,              0.0005348
                     77,                0.39665,                0.57129,                0.22129,                0.94139,                0.99933,                   0.99,                0.99485,                0.96266,                0.99933,                   0.99,                0.99485,                0.96764,                0.32932,                0.49032,                0.18597,                0.90473,               0.000515,               0.000515,               0.000515
                     78,                 0.3984,                0.57232,                0.22261,                0.94093,                0.99962,                   0.99,                0.99485,                0.96477,                0.99962,                   0.99,                0.99485,                0.96865,                 0.3258,                0.49608,                0.18388,                0.90611,              0.0004952,              0.0004952,              0.0004952
                     79,                0.38917,                0.55452,                0.21472,                 0.9395,                      1,                0.98993,                0.99495,                0.95954,                      1,                0.98993,                0.99495,                0.96347,                0.32214,                0.49007,                0.17286,                0.90156,              0.0004754,              0.0004754,              0.0004754
                     80,                0.39053,                0.56329,                0.21787,                0.94042,                      1,                0.98861,                 0.9949,                0.95959,                      1,                0.98861,                 0.9949,                0.96983,                0.33035,                0.48771,                0.17232,                0.90645,              0.0004556,              0.0004556,              0.0004556
                     81,                0.39351,                 0.5758,                0.21917,                0.94081,                0.99978,                  0.995,                  0.995,                0.96492,                0.99978,                  0.995,                  0.995,                0.96822,                0.32592,                0.50001,                0.16618,                0.90327,              0.0004358,              0.0004358,              0.0004358
                     82,                0.38327,                0.56232,                0.21313,                0.93674,                0.99996,                  0.995,                  0.995,                0.96508,                0.99996,                  0.995,                  0.995,                0.96595,                0.32181,                 0.4962,                0.15812,                0.89507,               0.000416,               0.000416,               0.000416
                     83,                0.38377,                0.56489,                0.21447,                0.93495,                 0.9995,                  0.995,                  0.995,                0.96687,                 0.9995,                  0.995,                  0.995,                0.96991,                0.32642,                0.50483,                0.15905,                0.90309,              0.0003962,              0.0003962,              0.0003962
                     84,                0.38647,                 0.5628,                 0.2175,                0.94066,                0.99981,                  0.995,                  0.995,                0.96631,                0.99981,                  0.995,                  0.995,                 0.9651,                0.32179,                0.48301,                0.15664,                 0.8961,              0.0003764,              0.0003764,              0.0003764
                     85,                0.37746,                0.55555,                0.20871,                0.93646,                 0.9997,                  0.995,                  0.995,                0.96178,                 0.9997,                  0.995,                  0.995,                0.96549,                0.32536,                0.50432,                0.16087,                0.90273,              0.0003566,              0.0003566,              0.0003566
                     86,                0.38133,                0.56009,                0.21027,                0.93628,                0.99975,                  0.995,                  0.995,                0.96037,                0.99975,                  0.995,                  0.995,                0.96852,                0.32195,                0.50129,                0.16329,                0.90226,              0.0003368,              0.0003368,              0.0003368
                     87,                0.38394,                0.56009,                0.21323,                 0.9379,                 0.9997,                   0.99,                0.99495,                0.95863,                 0.9997,                   0.99,                0.99495,                0.96544,                0.33106,                0.50099,                0.16698,                0.90277,               0.000317,               0.000317,               0.000317
                     88,                0.37761,                0.54707,                0.20804,                0.93556,                0.99922,                  0.995,                  0.995,                0.96409,                0.99922,                  0.995,                  0.995,                0.96997,                0.32431,                0.51404,                0.15926,                0.90685,              0.0002972,              0.0002972,              0.0002972
                     89,                0.38143,                0.54872,                0.20487,                0.93822,                0.99973,                  0.995,                  0.995,                 0.9628,                0.99973,                  0.995,                  0.995,                0.97003,                0.33129,                0.50154,                0.16251,                 0.9142,              0.0002774,              0.0002774,              0.0002774
                     90,                0.37394,                0.54492,                0.20335,                0.93522,                      1,                 0.9947,                  0.995,                 0.9578,                      1,                 0.9947,                  0.995,                0.96408,                0.32942,                0.51066,                0.16339,                0.90797,              0.0002576,              0.0002576,              0.0002576
                     91,                0.23077,                 0.3589,                0.14559,                0.85656,                0.98931,                  0.995,                 0.9949,                0.95917,                0.98931,                  0.995,                 0.9949,                 0.9652,                0.33444,                0.49911,                0.17035,                0.91379,              0.0002378,              0.0002378,              0.0002378
                     92,                0.22012,                0.35014,                0.13025,                0.86334,                      1,                0.98926,                 0.9949,                0.96079,                      1,                0.98926,                 0.9949,                0.96617,                0.33162,                0.50122,                0.16478,                0.91172,               0.000218,               0.000218,               0.000218
                     93,                0.21583,                 0.3439,                0.12868,                0.85884,                0.99926,                   0.99,                0.99495,                0.95931,                0.99926,                   0.99,                0.99495,                0.96629,                0.31865,                0.51485,                0.15745,                0.90459,              0.0001982,              0.0001982,              0.0001982
                     94,                0.21536,                0.34438,                0.12921,                0.85245,                 0.9992,                   0.99,                0.99485,                0.95777,                 0.9992,                   0.99,                0.99485,                0.96749,                0.31494,                0.52194,                0.16072,                0.89987,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.2076,                0.33948,                0.12404,                0.85204,                      1,                0.99464,                  0.995,                0.95897,                      1,                0.99464,                  0.995,                0.96356,                 0.3197,                0.51494,                 0.1586,                0.90352,              0.0001586,              0.0001586,              0.0001586
                     96,                0.20686,                0.33787,                0.12191,                 0.8534,                      1,                0.99461,                  0.995,                0.96125,                      1,                0.99461,                  0.995,                0.96005,                0.31699,                 0.5213,                0.15442,                0.89839,              0.0001388,              0.0001388,              0.0001388
                     97,                0.20321,                0.33273,                0.12233,                0.84654,                0.99499,                  0.995,                0.99495,                 0.9621,                0.99499,                  0.995,                0.99495,                0.96724,                0.31525,                0.51609,                0.15956,                0.89677,               0.000119,               0.000119,               0.000119
                     98,                0.20096,                0.33236,                0.11761,                  0.847,                  0.995,                0.99483,                0.99495,                0.95832,                  0.995,                0.99483,                0.99495,                0.96433,                0.31323,                0.51534,                 0.1555,                0.89616,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.19901,                 0.3305,                0.11788,                0.84855,                  0.995,                0.99496,                0.99495,                0.96318,                  0.995,                0.99496,                0.99495,                0.96679,                0.31408,                0.52147,                0.15775,                0.89705,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.19696,                0.33169,                0.11945,                0.84441,                  0.995,                0.99497,                0.99495,                0.95837,                  0.995,                0.99497,                0.99495,                0.96498,                0.31575,                 0.5231,                0.16175,                 0.8978,               5.96e-05,               5.96e-05,               5.96e-05
